MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto4;12.anticorr2.tree;12;66;0;9;0.000065;0.665365;0.665000;2095;264086;261966;0;54678;htc-cmp001;Wed Mar 22 16:42:01 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;7.anticorr3.tree;7;21;0;0;0.000020;0.001202;0.001000;525;2409;2347;0;635;htc-cmp001;Wed Mar 22 16:42:01 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;7.anticorr2.tree;7;21;0;0;0.000026;0.000571;0.000000;160;1071;1010;0;600;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto9;12.anticorr3.tree;12;66;0;0;0.000053;6.326710;6.329000;7693;1341571;1339520;0;66109;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;7.anticorr1.tree;7;21;0;2;0.000022;0.000498;0.000000;148;968;906;0;570;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;5.anticorr3.tree;5;10;0;0;0.000013;0.000048;0.000000;63;137;121;0;73;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto8;12.anticorr3.tree;12;66;0;0;0.000053;9.023348;9.026000;13561;1917529;1915480;0;65396;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;5.anticorr2.tree;5;10;0;0;0.000013;0.000045;0.000000;45;99;84;0;70;htc-cmp001;Wed Mar 22 16:42:02 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;5.anticorr1.tree;5;10;0;2;0.000012;0.000019;0.000000;15;41;27;0;48;htc-cmp001;Wed Mar 22 16:42:03 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto9;15.anticorr1.tree;15;105;0;41;0.000137;7.132073;7.134000;2328;1541340;1524289;0;424943;htc-cmp001;Wed Mar 22 16:42:03 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto8;15.anticorr1.tree;15;105;0;38;0.000139;11.719653;11.723000;4296;1919417;1904544;0;402977;htc-cmp001;Wed Mar 22 16:42:05 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto4;12.anticorr3.tree;12;66;0;0;0.000053;5.494290;5.496000;8444;1283209;1281159;0;64067;htc-cmp001;Wed Mar 22 16:42:06 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;12.anticorr1.tree;12;66;0;11;0.000066;0.451325;0.451000;2202;191435;189638;0;44468;htc-cmp001;Wed Mar 22 16:42:07 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;10.anticorr3.tree;10;45;0;0;0.000056;0.217335;0.217000;3252;114907;114395;0;11030;htc-cmp001;Wed Mar 22 16:42:08 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;10.anticorr2.tree;10;45;0;3;0.000044;0.065819;0.065000;1704;47914;47421;0;9643;htc-cmp001;Wed Mar 22 16:42:08 2023
MultiPrim;3DIM;SANTOS;GrafosCompletos;Conjunto3;10.anticorr1.tree;10;45;0;8;0.000043;0.013026;0.013000;644;15043;14602;0;7060;htc-cmp001;Wed Mar 22 16:42:08 2023
